Name,Abbreviation,Description,Interpretation,Result Status,Result 1,Result 2,Result 3,Details
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,timeline-shard,[timeline:list],1.0,"follow ([follow:user]): [kind:entry,store:*, timeline:*] / follow ([follow:list]): [search:*] / timeline1 ([timeline:list]): [follow:*] / timeline-shard ([shard:0, timeline:*]): [follow:*] / timeline-shard ([timeline:list]): [follow:*] / entry-store ([kind:entry, store:save]): [info:entry] / post ([post:entry]): [kind:entry,store:*] / fanout ([fanout:entry]): [follow:*] / index ([search:insert]): [follow:*] / timeline0 ([timeline:list]): [follow:*]"
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,entry-store,"[kind:entry, store:save]",1.0,"follow ([follow:user]): [kind:entry,store:*, timeline:*] / follow ([follow:list]): [search:*] / timeline1 ([timeline:list]): [follow:*] / timeline-shard ([shard:0, timeline:*]): [follow:*] / timeline-shard ([timeline:list]): [follow:*] / entry-store ([kind:entry, store:save]): [info:entry] / post ([post:entry]): [kind:entry,store:*] / fanout ([fanout:entry]): [follow:*] / index ([search:insert]): [follow:*] / timeline0 ([timeline:list]): [follow:*]"
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,entry-store,"[kind:entry, store:list]",0.0,"follow ([follow:user]): [kind:entry,store:*, timeline:*] / follow ([follow:list]): [search:*] / timeline1 ([timeline:list]): [follow:*] / timeline-shard ([shard:0, timeline:*]): [follow:*] / timeline-shard ([timeline:list]): [follow:*] / entry-store ([kind:entry, store:save]): [info:entry] / post ([post:entry]): [kind:entry,store:*] / fanout ([fanout:entry]): [follow:*] / index ([search:insert]): [follow:*] / timeline0 ([timeline:list]): [follow:*]"
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,timeline0,[timeline:insert],0.0,"follow ([follow:user]): [kind:entry,store:*, timeline:*] / follow ([follow:list]): [search:*] / timeline1 ([timeline:list]): [follow:*] / timeline-shard ([shard:0, timeline:*]): [follow:*] / timeline-shard ([timeline:list]): [follow:*] / entry-store ([kind:entry, store:save]): [info:entry] / post ([post:entry]): [kind:entry,store:*] / fanout ([fanout:entry]): [follow:*] / index ([search:insert]): [follow:*] / timeline0 ([timeline:list]): [follow:*]"
Response for Operation,RFO,Cardinality of the set of other service interfaces that can be executed in response to invocations with all possible parameters,"Value range: [0,INF), lower is better",Nested Results,timeline0,[timeline:list],1.0,"follow ([follow:user]): [kind:entry,store:*, timeline:*] / follow ([follow:list]): [search:*] / timeline1 ([timeline:list]): [follow:*] / timeline-shard ([shard:0, timeline:*]): [follow:*] / timeline-shard ([timeline:list]): [follow:*] / entry-store ([kind:entry, store:save]): [info:entry] / post ([post:entry]): [kind:entry,store:*] / fanout ([fanout:entry]): [follow:*] / index ([search:insert]): [follow:*] / timeline0 ([timeline:list]): [follow:*]"
Total Response for Service,TRS,Sum of RFO values for all operations,"Value range: [0,INF), lower is better",Single Result,11.0,,,
Mean Absolute Importance/Dependence in the System,MAIDS,Mean number of services which depend on a service / Mean number of services a service depends on,"Value range: [0,13], lower is better",Single Result,1.93,,,
Mean Absolute Coupling in the System,MACS,Mean number of services which depend on a service or a service depends on,"Value range: [0,26], lower is better",Single Result,3.86,,,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,mine,entry-cache,0.7,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,mine,entry-store,0.3,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,timeline1,reserve,0.43,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,timeline1,follow,0.57,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,search,index,0.51,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,search,follow,0.49,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,fanout,follow,1.0,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,post,fanout,0.27,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,post,entry-cache,0.31,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,post,index,0.27,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,post,entry-store,0.15,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,api,post,0.57,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,api,follow,0.43,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,follow,timeline1,0.11,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,follow,reserve,0.27,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,follow,entry-cache,0.16,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,follow,timeline-shard,0.36,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,follow,entry-store,0.02,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,follow,timeline0,0.07,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,entry-store,timeline1,0.19,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,entry-store,timeline-shard,0.67,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,entry-store,timeline0,0.14,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,timeline0,reserve,0.36,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,timeline0,follow,0.64,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,home,timeline1,0.18,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,home,timeline-shard,0.67,
Dynamic Relative Dependence of Service,DRDS,Degree to which a service uses other services in terms of calls,"Value range: (0,1], higher is better",Nested Results,home,timeline0,0.16,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,timeline1,follow,0.29,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,timeline1,entry-store,0.24,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,timeline1,home,0.47,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,fanout,post,1.0,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,post,api,1.0,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,reserve,timeline1,0.27,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,reserve,follow,0.55,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,reserve,timeline0,0.18,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,entry-cache,mine,0.41,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,entry-cache,post,0.41,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,entry-cache,follow,0.18,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,index,search,0.63,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,index,post,0.37,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,follow,timeline1,0.16,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,follow,search,0.45,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,follow,fanout,0.14,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,follow,api,0.12,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,follow,timeline0,0.14,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,timeline-shard,follow,0.27,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,timeline-shard,entry-store,0.23,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,timeline-shard,home,0.5,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,entry-store,mine,0.44,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,entry-store,post,0.5,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,entry-store,follow,0.06,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,timeline0,follow,0.23,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,timeline0,entry-store,0.23,
Dynamic Relative Importance of Service,DRIS,Degree to which other services depend on a service in terms of calls,"Value range: (0,1], higher is better",Nested Results,timeline0,home,0.54,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,mine,entry-cache,0.06,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,mine,entry-store,0.03,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,timeline1,reserve,0.02,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,timeline1,follow,0.03,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,search,index,0.09,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,search,follow,0.08,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,fanout,follow,0.03,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,post,fanout,0.05,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,post,entry-cache,0.06,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,post,index,0.05,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,post,entry-store,0.03,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,api,post,0.03,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,api,follow,0.02,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,follow,timeline1,0.02,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,follow,reserve,0.04,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,follow,entry-cache,0.03,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,follow,timeline-shard,0.06,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,follow,entry-store,0.0,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,follow,timeline0,0.01,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,entry-store,timeline1,0.01,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,entry-store,timeline-shard,0.05,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,entry-store,timeline0,0.01,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,timeline0,reserve,0.01,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,timeline0,follow,0.03,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,home,timeline1,0.03,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,home,timeline-shard,0.11,
Dynamic Relative Dependence of Service in the System,DRDSS,Degree to which a service uses other services in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,home,timeline0,0.03,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,timeline1,follow,0.02,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,timeline1,entry-store,0.01,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,timeline1,home,0.03,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,fanout,post,0.05,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,post,api,0.03,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,reserve,timeline1,0.02,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,reserve,follow,0.04,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,reserve,timeline0,0.01,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,entry-cache,mine,0.06,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,entry-cache,post,0.06,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,entry-cache,follow,0.03,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,index,search,0.09,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,index,post,0.05,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,follow,timeline1,0.03,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,follow,search,0.08,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,follow,fanout,0.03,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,follow,api,0.02,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,follow,timeline0,0.03,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,timeline-shard,follow,0.06,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,timeline-shard,entry-store,0.05,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,timeline-shard,home,0.11,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,entry-store,mine,0.03,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,entry-store,post,0.03,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,entry-store,follow,0.0,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,timeline0,follow,0.01,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,timeline0,entry-store,0.01,
Dynamic Relative Importance of Service in the System,DRISS,Degree to which other services depend on a service in terms of calls compared to all calls system-wide,"Value range: (0,1], lower is better",Nested Results,timeline0,home,0.03,
Cyclic Service Dependencies,CSD,Number of cycles in the dependencies,"Value range: [0,18348340022], lower is better",Single Result,2.0,,,follow --> entry-store --> timeline1 --> follow / follow --> entry-store --> timeline0 --> follow
